file,id,model,category,error,truth_cols,model_cols,truth_rows_n,model_rows_n,category_final
results_condition1_unaware_gpt.csv,L1-02,gpt-4.1-mini,column_shape_mismatch,,2,5,3,3,column_shape_mismatch
results_condition1_unaware_gpt.csv,L1-03,gpt-4.1-mini,column_shape_mismatch,,3,8,3,3,column_shape_mismatch
results_condition1_unaware_gpt.csv,L1-04,gpt-4.1-mini,column_shape_mismatch,,2,5,5,5,column_shape_mismatch
results_condition1_unaware_gpt.csv,L1-05,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L1-07,gpt-4.1-mini,column_shape_mismatch,,2,5,1,1,column_shape_mismatch
results_condition1_unaware_gpt.csv,L1-08,gpt-4.1-mini,column_shape_mismatch,,2,8,2,2,column_shape_mismatch
results_condition1_unaware_gpt.csv,L1-09,gpt-4.1-mini,column_shape_mismatch,,3,7,2,2,column_shape_mismatch
results_condition1_unaware_gpt.csv,L1-10,gpt-4.1-mini,column_shape_mismatch,,2,1,2,2,column_shape_mismatch
results_condition1_unaware_gpt.csv,L2-01,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-02,gpt-4.1-mini,column_shape_mismatch,,2,1,14,14,column_shape_mismatch
results_condition1_unaware_gpt.csv,L2-03,gpt-4.1-mini,column_shape_mismatch,,3,8,3,3,column_shape_mismatch
results_condition1_unaware_gpt.csv,L2-04,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-05,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-06,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-07,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-08,gpt-4.1-mini,column_shape_mismatch,,4,5,10,10,column_shape_mismatch
results_condition1_unaware_gpt.csv,L2-09,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-10,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-11,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-12,gpt-4.1-mini,column_shape_mismatch,,4,5,19,19,column_shape_mismatch
results_condition1_unaware_gpt.csv,L2-13,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-14,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L2-15,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L3-01,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L3-02,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L3-04,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L3-05,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
results_condition1_unaware_gpt.csv,L3-06,gpt-4.1-mini,column_shape_mismatch,,3,2,14,14,column_shape_mismatch
results_condition1_unaware_gpt.csv,L3-07,gpt-4.1-mini,hallucinated_schema,,,,,,hallucinated_schema
