id,level,model,ran_ok,correct,model_rows,truth_rows,model_sql,error,condition
NEW-L3-01,L3,gpt-4.1-mini,True,False,17,17,"SELECT p.product_name, c.customer_id, c.first_name, c.last_name, COUNT(oi.order_item_id) AS order_count FROM order_items oi JOIN orders o ON oi.order_id = o.order_id JOIN customers c ON o.customer_id = c.customer_id JOIN products p ON oi.product_id = p.product_id GROUP BY c.customer_id, p.product_id HAVING COUNT(DISTINCT o.order_id) > 1;",,condition3_fewshot
NEW-L3-02,L3,gpt-4.1-mini,True,True,11,11,"SELECT c.city, AVG(order_total) AS avg_order_value FROM customers c JOIN orders o ON c.customer_id = o.customer_id JOIN (SELECT order_id, SUM(quantity * unit_price) AS order_total FROM order_items GROUP BY order_id) oi ON o.order_id = oi.order_id GROUP BY c.city ORDER BY avg_order_value DESC;",,condition3_fewshot
NEW-L3-03,L3,gpt-4.1-mini,True,False,8,11,"SELECT c.category_name, COUNT(DISTINCT o.customer_id) AS distinct_customers FROM categories c JOIN products p ON c.category_id = p.category_id JOIN order_items oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id GROUP BY c.category_name ORDER BY distinct_customers DESC;",,condition3_fewshot
NEW-L3-04,L3,gpt-4.1-mini,True,True,3,3,"SELECT w.warehouse_name, SUM(p.price * i.quantity) AS total_inventory_value FROM warehouses w JOIN inventory i ON w.warehouse_id = i.warehouse_id JOIN products p ON i.product_id = p.product_id GROUP BY w.warehouse_name ORDER BY total_inventory_value DESC;",,condition3_fewshot
NEW-L3-05,L3,gpt-4.1-mini,True,False,3,3,"SELECT DISTINCT e.first_name, e.last_name FROM employees e JOIN orders o ON e.employee_id = o.handled_by JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Berlin';",,condition3_fewshot
NEW-L3-06,L3,gpt-4.1-mini,True,False,3,3,"SELECT w.warehouse_name, 
       MAX_stock.product_name AS most_stocked_product, MAX_stock.max_quantity, 
       MIN_stock.product_name AS least_stocked_product, MIN_stock.min_quantity
FROM warehouses w
JOIN (
    SELECT i.warehouse_id, p.product_name, i.quantity AS max_quantity
    FROM inventory i
    JOIN products p ON i.product_id = p.product_id
    JOIN (
        SELECT warehouse_id, MAX(quantity) AS max_qty
        FROM inventory
        GROUP BY warehouse_id
    ) max_qtys ON i.warehouse_id = max_qtys.warehouse_id AND i.quantity = max_qtys.max_qty
) AS MAX_stock ON w.warehouse_id = MAX_stock.warehouse_id
JOIN (
    SELECT i.warehouse_id, p.product_name, i.quantity AS min_quantity
    FROM inventory i
    JOIN products p ON i.product_id = p.product_id
    JOIN (
        SELECT warehouse_id, MIN(quantity) AS min_qty
        FROM inventory
        GROUP BY warehouse_id
    ) min_qtys ON i.warehouse_id = min_qtys.warehouse_id AND i.quantity = min_qtys.min_qty
) AS MIN_stock ON w.warehouse_id = MIN_stock.warehouse_id
ORDER BY w.warehouse_name;",,condition3_fewshot
NEW-L3-07,L3,gpt-4.1-mini,True,False,17,17,"SELECT DATE_FORMAT(order_date, '%Y-%m') AS order_month, status, COUNT(*) AS order_count FROM orders WHERE YEAR(order_date) = 2025 GROUP BY order_month, status ORDER BY order_month, status;",,condition3_fewshot
NEW-L3-08,L3,gpt-4.1-mini,True,False,8,8,"SELECT c.category_name, AVG(oi.unit_price) AS avg_unit_price FROM order_items oi JOIN products p ON oi.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id GROUP BY c.category_name ORDER BY avg_unit_price DESC;",,condition3_fewshot
NEW-L3-09,L3,gpt-4.1-mini,True,True,13,13,"SELECT c.customer_id, c.first_name, c.last_name FROM customers c WHERE c.customer_id NOT IN (SELECT DISTINCT o.customer_id FROM orders o WHERE o.status = 'cancelled');",,condition3_fewshot
NEW-L3-10,L3,gpt-4.1-mini,True,False,22,22,"SELECT p.product_name, IFNULL(SUM(oi.quantity), 0) AS total_ordered_quantity FROM products p LEFT JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_name ORDER BY total_ordered_quantity DESC;",,condition3_fewshot
