# SECTION: overall_summary
condition,model,total,correct,accuracy_pct,ran_ok,exec_fail_count,ran_but_wrong_count
condition1_unaware,gpt-4.1-mini,50,4,8.0,21,29,17
condition1_unaware,gemini-3.5-flash-lite,50,5,10.0,27,23,22
condition2_aware_no_hints,gpt-4.1-mini,50,10,20.0,50,0,40
condition2_aware_no_hints,gemini-3.5-flash-lite,50,6,12.0,50,0,44
condition3_fewshot,gpt-4.1-mini,20,4,20.0,20,0,16
condition3_fewshot,gemini-3.5-flash-lite,20,4,20.0,20,0,16
condition4_precise_wording,gpt-4.1-mini,20,14,70.0,19,1,5
condition4_precise_wording,gemini-3.5-flash-lite,20,12,60.0,20,0,8

# SECTION: by_level
condition,model,level,correct,total,accuracy_pct
condition1_unaware,gpt-4.1-mini,1,2,10,20.0
condition1_unaware,gpt-4.1-mini,2,0,15,0.0
condition1_unaware,gpt-4.1-mini,3,2,15,13.3
condition1_unaware,gpt-4.1-mini,4,0,10,0.0
condition1_unaware,gemini-3.5-flash-lite,1,2,10,20.0
condition1_unaware,gemini-3.5-flash-lite,2,0,15,0.0
condition1_unaware,gemini-3.5-flash-lite,3,3,15,20.0
condition1_unaware,gemini-3.5-flash-lite,4,0,10,0.0
condition2_aware_no_hints,gpt-4.1-mini,1,2,10,20.0
condition2_aware_no_hints,gpt-4.1-mini,2,0,15,0.0
condition2_aware_no_hints,gpt-4.1-mini,3,7,15,46.7
condition2_aware_no_hints,gpt-4.1-mini,4,1,10,10.0
condition2_aware_no_hints,gemini-3.5-flash-lite,1,2,10,20.0
condition2_aware_no_hints,gemini-3.5-flash-lite,2,0,15,0.0
condition2_aware_no_hints,gemini-3.5-flash-lite,3,4,15,26.7
condition2_aware_no_hints,gemini-3.5-flash-lite,4,0,10,0.0
condition3_fewshot,gpt-4.1-mini,L3,3,10,30.0
condition3_fewshot,gpt-4.1-mini,L4,1,10,10.0
condition3_fewshot,gemini-3.5-flash-lite,L3,2,10,20.0
condition3_fewshot,gemini-3.5-flash-lite,L4,2,10,20.0
condition4_precise_wording,gpt-4.1-mini,L3,8,10,80.0
condition4_precise_wording,gpt-4.1-mini,L4,6,10,60.0
condition4_precise_wording,gemini-3.5-flash-lite,L3,8,10,80.0
condition4_precise_wording,gemini-3.5-flash-lite,L4,4,10,40.0

# SECTION: condition3_to_condition4_delta
model,query_id,c3_correct,c4_correct,flipped_wrong_to_correct,regressed_correct_to_wrong
gpt-4.1-mini,NEW-L3-01,False,False,False,False
gpt-4.1-mini,NEW-L3-02,True,True,False,False
gpt-4.1-mini,NEW-L3-03,False,False,False,False
gpt-4.1-mini,NEW-L3-04,True,True,False,False
gpt-4.1-mini,NEW-L3-05,False,True,True,False
gpt-4.1-mini,NEW-L3-06,False,True,True,False
gpt-4.1-mini,NEW-L3-07,False,True,True,False
gpt-4.1-mini,NEW-L3-08,False,True,True,False
gpt-4.1-mini,NEW-L3-09,True,True,False,False
gpt-4.1-mini,NEW-L3-10,False,True,True,False
gpt-4.1-mini,NEW-L4-01,True,True,False,False
gpt-4.1-mini,NEW-L4-02,False,False,False,False
gpt-4.1-mini,NEW-L4-03,False,True,True,False
gpt-4.1-mini,NEW-L4-04,False,True,True,False
gpt-4.1-mini,NEW-L4-05,False,True,True,False
gpt-4.1-mini,NEW-L4-06,False,False,False,False
gpt-4.1-mini,NEW-L4-07,False,False,False,False
gpt-4.1-mini,NEW-L4-08,False,True,True,False
gpt-4.1-mini,NEW-L4-09,False,True,True,False
gpt-4.1-mini,NEW-L4-10,False,False,False,False
gemini-3.5-flash-lite,NEW-L3-01,False,True,True,False
gemini-3.5-flash-lite,NEW-L3-02,True,True,False,False
gemini-3.5-flash-lite,NEW-L3-03,False,False,False,False
gemini-3.5-flash-lite,NEW-L3-04,True,True,False,False
gemini-3.5-flash-lite,NEW-L3-05,False,True,True,False
gemini-3.5-flash-lite,NEW-L3-06,False,True,True,False
gemini-3.5-flash-lite,NEW-L3-07,False,True,True,False
gemini-3.5-flash-lite,NEW-L3-08,False,False,False,False
gemini-3.5-flash-lite,NEW-L3-09,False,True,True,False
gemini-3.5-flash-lite,NEW-L3-10,False,True,True,False
gemini-3.5-flash-lite,NEW-L4-01,True,True,False,False
gemini-3.5-flash-lite,NEW-L4-02,True,True,False,False
gemini-3.5-flash-lite,NEW-L4-03,False,True,True,False
gemini-3.5-flash-lite,NEW-L4-04,False,False,False,False
gemini-3.5-flash-lite,NEW-L4-05,False,True,True,False
gemini-3.5-flash-lite,NEW-L4-06,False,False,False,False
gemini-3.5-flash-lite,NEW-L4-07,False,False,False,False
gemini-3.5-flash-lite,NEW-L4-08,False,False,False,False
gemini-3.5-flash-lite,NEW-L4-09,False,False,False,False
gemini-3.5-flash-lite,NEW-L4-10,False,False,False,False
