condition,model,level,ran_ok,correct,total,accuracy_pct
condition1_unaware,gpt-4.1-mini,ALL,21,4,50,8.0
condition1_unaware,gemini-3.5-flash-lite,ALL,27,5,50,10.0
condition2_aware_no_hints,gpt-4.1-mini,ALL,50,10,50,20.0
condition2_aware_no_hints,gemini-3.5-flash-lite,ALL,50,6,50,12.0
condition3_fewshot,gpt-4.1-mini,ALL,20,4,20,20.0
condition3_fewshot,gemini-3.5-flash-lite,ALL,20,4,20,20.0
condition4_precise_wording,gpt-4.1-mini,ALL,19,14,20,70.0
condition4_precise_wording,gemini-3.5-flash-lite,ALL,20,12,20,60.0
condition1_unaware,gpt-4.1-mini,1,9,2,10,20.0
condition1_unaware,gpt-4.1-mini,2,4,0,15,0.0
condition1_unaware,gpt-4.1-mini,3,5,2,15,13.3
condition1_unaware,gpt-4.1-mini,4,3,0,10,0.0
condition1_unaware,gemini-3.5-flash-lite,1,9,2,10,20.0
condition1_unaware,gemini-3.5-flash-lite,2,4,0,15,0.0
condition1_unaware,gemini-3.5-flash-lite,3,10,3,15,20.0
condition1_unaware,gemini-3.5-flash-lite,4,4,0,10,0.0
condition2_aware_no_hints,gpt-4.1-mini,1,10,2,10,20.0
condition2_aware_no_hints,gpt-4.1-mini,2,15,0,15,0.0
condition2_aware_no_hints,gpt-4.1-mini,3,15,7,15,46.7
condition2_aware_no_hints,gpt-4.1-mini,4,10,1,10,10.0
condition2_aware_no_hints,gemini-3.5-flash-lite,1,10,2,10,20.0
condition2_aware_no_hints,gemini-3.5-flash-lite,2,15,0,15,0.0
condition2_aware_no_hints,gemini-3.5-flash-lite,3,15,4,15,26.7
condition2_aware_no_hints,gemini-3.5-flash-lite,4,10,0,10,0.0
condition3_fewshot,gpt-4.1-mini,L3,10,3,10,30.0
condition3_fewshot,gpt-4.1-mini,L4,10,1,10,10.0
condition3_fewshot,gemini-3.5-flash-lite,L3,10,2,10,20.0
condition3_fewshot,gemini-3.5-flash-lite,L4,10,2,10,20.0
condition4_precise_wording,gpt-4.1-mini,L3,10,8,10,80.0
condition4_precise_wording,gpt-4.1-mini,L4,9,6,10,60.0
condition4_precise_wording,gemini-3.5-flash-lite,L3,10,8,10,80.0
condition4_precise_wording,gemini-3.5-flash-lite,L4,10,4,10,40.0
