id,level,model,run_num,result_signature,sql
L1-01,1,claude-haiku-4.5,1,4490182459597063570,SELECT COUNT(*) FROM orders WHERE status = 'completed';
L1-01,1,claude-haiku-4.5,2,4490182459597063570,SELECT COUNT(*) FROM orders WHERE status = 'completed';
L1-01,1,claude-haiku-4.5,3,4490182459597063570,SELECT COUNT(*) FROM orders WHERE status = 'completed'
L1-01,1,claude-haiku-4.5,4,4490182459597063570,SELECT COUNT(*) FROM orders WHERE status = 'completed'
L1-01,1,claude-haiku-4.5,5,4490182459597063570,SELECT COUNT(*) FROM orders WHERE status = 'completed'
L2-04,2,claude-haiku-4.5,1,-3631436936399648855,"SELECT o.order_id, o.order_date, o.status FROM orders o JOIN employees e ON o.handled_by = e.employee_id WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';"
L2-04,2,claude-haiku-4.5,2,-3631436936399648855,"SELECT o.order_id, o.order_date, o.status
FROM orders o
JOIN employees e ON o.handled_by = e.employee_id
WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';"
L2-04,2,claude-haiku-4.5,3,-3631436936399648855,"SELECT o.order_id, o.order_date, o.status FROM orders o JOIN employees e ON o.handled_by = e.employee_id WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';"
L2-04,2,claude-haiku-4.5,4,-3631436936399648855,"SELECT o.order_id, o.order_date, o.status FROM orders o JOIN employees e ON o.handled_by = e.employee_id WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';"
L2-04,2,claude-haiku-4.5,5,-3631436936399648855,"SELECT o.order_id, o.order_date, o.status FROM orders o JOIN employees e ON o.handled_by = e.employee_id WHERE e.first_name = 'Julia' AND e.last_name = 'Becker';"
L2-08,2,claude-haiku-4.5,1,1279906370892446075,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich'"
L2-08,2,claude-haiku-4.5,2,1279906370892446075,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich'"
L2-08,2,claude-haiku-4.5,3,1279906370892446075,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich'"
L2-08,2,claude-haiku-4.5,4,1279906370892446075,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich'"
L2-08,2,claude-haiku-4.5,5,1279906370892446075,"SELECT o.order_id, c.first_name, c.last_name, o.order_date FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.city = 'Munich'"
L3-05,3,claude-haiku-4.5,1,-673323004187589270,"SELECT c.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM categories c LEFT JOIN products p ON c.category_id = p.category_id LEFT JOIN order_items oi ON p.product_id = oi.product_id GROUP BY c.category_id, c.category_name ORDER BY revenue DESC;"
L3-05,3,claude-haiku-4.5,2,-673323004187589270,"SELECT c.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM categories c LEFT JOIN products p ON c.category_id = p.category_id LEFT JOIN order_items oi ON p.product_id = oi.product_id GROUP BY c.category_id, c.category_name ORDER BY revenue DESC;"
L3-05,3,claude-haiku-4.5,3,-673323004187589270,"SELECT c.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM categories c LEFT JOIN products p ON c.category_id = p.category_id LEFT JOIN order_items oi ON p.product_id = oi.product_id GROUP BY c.category_id, c.category_name ORDER BY revenue DESC;"
L3-05,3,claude-haiku-4.5,4,1447113690919630058,"SELECT c.category_name, SUM(oi.quantity * oi.unit_price) as revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN order_items oi ON p.product_id = oi.product_id GROUP BY c.category_id, c.category_name ORDER BY revenue DESC;"
L3-05,3,claude-haiku-4.5,5,1447113690919630058,"SELECT c.category_name, SUM(oi.quantity * oi.unit_price) AS revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN order_items oi ON p.product_id = oi.product_id GROUP BY c.category_id, c.category_name ORDER BY revenue DESC;"
L3-06,3,claude-haiku-4.5,1,-5409129271932248891,"SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY c.customer_id;"
L3-06,3,claude-haiku-4.5,2,-5409129271932248891,"SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY c.customer_id;"
L3-06,3,claude-haiku-4.5,3,-5409129271932248891,"SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY c.customer_id;"
L3-06,3,claude-haiku-4.5,4,-5409129271932248891,"SELECT c.first_name, c.last_name, COUNT(o.order_id) as order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY c.customer_id;"
