id,level,model,ran_ok,correct,model_rows,truth_rows,model_sql,error
L1-01,1,gemini-3.5-flash-lite-zeroshot,True,True,1,1,SELECT COUNT(*) FROM orders WHERE status = 'completed';,
L1-02,1,gemini-3.5-flash-lite-zeroshot,True,True,3,3,"SELECT product_name, price FROM products WHERE price > 150 AND price < 300",
L1-03,1,gemini-3.5-flash-lite-zeroshot,True,True,3,3,"SELECT first_name, last_name, hire_date FROM employees WHERE YEAR(hire_date) = 2023;",
L1-04,1,gemini-3.5-flash-lite-zeroshot,True,True,5,5,"SELECT product_name, price FROM products ORDER BY price DESC LIMIT 5",
L1-05,1,gemini-3.5-flash-lite-zeroshot,True,True,7,7,"SELECT inventory_id, product_id, warehouse_id, quantity FROM inventory WHERE quantity < 50;",
L1-06,1,gemini-3.5-flash-lite-zeroshot,True,True,1,1,SELECT COUNT(*) FROM categories;,
L1-07,1,gemini-3.5-flash-lite-zeroshot,True,True,1,1,"SELECT product_name, price FROM products ORDER BY price ASC LIMIT 1",
L1-08,1,gemini-3.5-flash-lite-zeroshot,True,True,2,2,"SELECT first_name, last_name FROM employees WHERE manager_id IS NULL;",
L1-09,1,gemini-3.5-flash-lite-zeroshot,True,True,2,2,"SELECT first_name, last_name, city FROM customers WHERE city = 'Hamburg';",
L1-10,1,gemini-3.5-flash-lite-zeroshot,True,True,2,2,"SELECT department_name, location FROM departments WHERE location = 'Berlin'",
L2-01,2,gemini-3.5-flash-lite-zeroshot,False,False,0,3,"SELECT p.product_name, c.category_name FROM products p JOIN categories c ON p.category_id = c.id WHERE c.category_name = 'Laptops';",EXEC_FAIL: 1054 (42S22): Unknown column 'c.id' in 'on clause'
L2-02,2,gemini-3.5-flash-lite-zeroshot,True,True,14,14,"SELECT DISTINCT c.first_name, c.last_name FROM customers c JOIN orders o ON c.customer_id = o.customer_id",
L2-03,2,gemini-3.5-flash-lite-zeroshot,True,True,3,3,"SELECT e.first_name, e.last_name, d.department_name FROM employees e JOIN departments d ON e.department_id = d.department_id WHERE d.department_name = 'Sales'",
