id,level,model,run_num,result_signature,sql
L1-01,1,gpt-4.1-mini,1,8701750844609064731,
L1-01,1,gpt-4.1-mini,2,8701750844609064731,
L1-01,1,gpt-4.1-mini,3,8701750844609064731,
L1-01,1,gpt-4.1-mini,4,8701750844609064731,
L1-01,1,gpt-4.1-mini,5,8701750844609064731,
L2-04,2,gpt-4.1-mini,1,8701750844609064731,
L2-04,2,gpt-4.1-mini,2,8701750844609064731,
L2-04,2,gpt-4.1-mini,3,8701750844609064731,
L2-04,2,gpt-4.1-mini,4,8701750844609064731,
L2-04,2,gpt-4.1-mini,5,8701750844609064731,
L2-08,2,gpt-4.1-mini,1,8701750844609064731,
L2-08,2,gpt-4.1-mini,2,8701750844609064731,
L2-08,2,gpt-4.1-mini,3,8701750844609064731,
L2-08,2,gpt-4.1-mini,4,8701750844609064731,
L2-08,2,gpt-4.1-mini,5,8701750844609064731,
L3-05,3,gpt-4.1-mini,1,8701750844609064731,
L3-05,3,gpt-4.1-mini,2,8701750844609064731,
L3-05,3,gpt-4.1-mini,3,8701750844609064731,
L3-05,3,gpt-4.1-mini,4,8701750844609064731,
L3-05,3,gpt-4.1-mini,5,8701750844609064731,
L3-06,3,gpt-4.1-mini,1,8701750844609064731,
L3-06,3,gpt-4.1-mini,2,8701750844609064731,
L3-06,3,gpt-4.1-mini,3,8701750844609064731,
L3-06,3,gpt-4.1-mini,4,8701750844609064731,
L3-06,3,gpt-4.1-mini,5,8701750844609064731,
L3-11,3,gpt-4.1-mini,1,8701750844609064731,
L3-11,3,gpt-4.1-mini,2,8701750844609064731,
L3-11,3,gpt-4.1-mini,3,8701750844609064731,
L3-11,3,gpt-4.1-mini,4,8701750844609064731,
L3-11,3,gpt-4.1-mini,5,8701750844609064731,
L4-02,4,gpt-4.1-mini,1,8701750844609064731,
L4-02,4,gpt-4.1-mini,2,8701750844609064731,
L4-02,4,gpt-4.1-mini,3,8701750844609064731,
L4-02,4,gpt-4.1-mini,4,8701750844609064731,
L4-02,4,gpt-4.1-mini,5,8701750844609064731,
L4-06,4,gpt-4.1-mini,1,8701750844609064731,
L4-06,4,gpt-4.1-mini,2,8701750844609064731,
L4-06,4,gpt-4.1-mini,3,8701750844609064731,
L4-06,4,gpt-4.1-mini,4,8701750844609064731,
L4-06,4,gpt-4.1-mini,5,8701750844609064731,
L4-08,4,gpt-4.1-mini,1,8701750844609064731,
L4-08,4,gpt-4.1-mini,2,8701750844609064731,
L4-08,4,gpt-4.1-mini,3,8701750844609064731,
L4-08,4,gpt-4.1-mini,4,8701750844609064731,
L4-08,4,gpt-4.1-mini,5,8701750844609064731,
L4-10,4,gpt-4.1-mini,1,8701750844609064731,
L4-10,4,gpt-4.1-mini,2,8701750844609064731,
L4-10,4,gpt-4.1-mini,3,8701750844609064731,
L4-10,4,gpt-4.1-mini,4,8701750844609064731,
L4-10,4,gpt-4.1-mini,5,8701750844609064731,
